DoY	 NEE	 CH4	 H 	 LE	 Tair	 Tsoil 10cm	 Tsoil 100cm	 Water Table	 RH	 Prec	 Tsoil_water	 
-	 [g m-2 d-1]	 [g m-2 d-1]	 [Wm-2]	 [Wm-2]	 [C]	 [C]	 [C]	 [m]	 [%]	 [inches d-1]	 [C]	 
145	 -1.629	 0.066	 24.1	 67.1	 12.7	 9.7	 5.7	 0.600	 72.4	 0.000	 1.1	
146	 -1.953	 0.070	 24.1	 104.0	 16.5	 10.1	 5.7	 0.600	 71.6	 0.080	 1.5	
147	 -3.230	 0.074	 25.9	 84.1	 15.4	 10.7	 5.8	 0.570	 63.0	 0.000	 1.5	
148	 -2.881	 0.070	 15.6	 44.6	 12.7	 11.2	 5.8	 0.610	 85.4	 0.340	 1.4	
149	 -2.736	 0.070	 10.4	 46.4	 10.8	 11.3	 5.9	 0.600	 82.5	 0.020	 1.4	
150	 -3.600	 0.071	 4.8	 32.1	 8.4	 11.2	 6.0	 0.590	 85.8	 0.020	 1.5	
151	 -4.322	 0.079	 41.6	 137.9	 12.8	 10.9	 6.0	 0.580	 54.9	 0.000	 1.5	
152	 -2.595	 0.075	 28.8	 111.0	 15.0	 11.0	 6.0	 0.540	 61.9	 0.000	 1.5	
153	 -2.043	 0.080	 26.4	 112.3	 19.0	 11.5	 6.1	 0.510	 57.3	 0.000	 1.4	
154	 -2.491	 0.086	 19.1	 112.2	 21.1	 12.2	 6.1	 0.500	 63.8	 0.110	 1.4	
155	 -3.048	 0.089	 26.4	 97.3	 18.8	 12.9	 6.2	 0.470	 63.0	 0.000	 1.3	
156	 -4.063	 0.089	 32.8	 103.8	 18.4	 13.1	 6.3	 0.460	 65.9	 0.000	 1.3	
157	 -3.551	 0.092	 29.5	 106.4	 17.2	 13.5	 6.3	 0.440	 58.0	 0.000	 1.3	
158	 -4.007	 0.089	 22.2	 53.3	 17.6	 13.8	 6.4	 0.430	 74.2	 0.140	 1.3	
159	 -4.343	 0.097	 35.3	 107.2	 18.6	 14.1	 6.4	 0.430	 75.2	 0.000	 1.3	
160	 -4.233	 0.095	 30.2	 86.7	 18.9	 14.3	 6.5	 0.400	 67.3	 0.000	 1.3	
161	 -4.079	 0.097	 25.8	 71.8	 21.8	 14.6	 6.5	 0.390	 67.9	 0.050	 1.2	
162	 -3.289	 0.095	 25.6	 74.8	 17.0	 14.8	 6.6	 0.410	 82.4	 0.260	 NaN	
163	 -4.177	 0.101	 32.9	 92.7	 18.5	 14.9	 6.7	 0.380	 66.9	 0.000	 1.2	
164	 -2.001	 0.097	 9.3	 28.4	 15.7	 15.0	 6.7	 0.270	 84.3	 1.050	 1.2	
165	 -4.870	 0.095	 30.3	 88.8	 19.5	 14.9	 6.8	 0.540	 77.7	 0.360	 1.2	
166	 -3.860	 0.093	 22.7	 80.2	 17.3	 15.0	 6.9	 0.510	 78.3	 0.000	 1.2	
167	 -3.845	 0.095	 30.4	 115.7	 18.2	 15.0	 7.0	 0.480	 71.3	 0.060	 1.2	
168	 -4.797	 0.098	 25.7	 65.7	 16.8	 15.2	 7.1	 0.470	 87.3	 0.120	 1.2	
169	 -6.061	 0.093	 18.4	 54.3	 14.6	 15.4	 7.2	 0.470	 87.7	 0.060	 1.2	
170	 -5.097	 0.098	 23.6	 66.8	 14.3	 15.3	 7.2	 0.470	 78.2	 0.000	 1.2	
171	 -5.085	 0.094	 30.4	 76.1	 14.4	 15.1	 7.3	 0.460	 76.5	 0.000	 1.2	
172	 -3.534	 0.092	 19.3	 61.5	 15.0	 14.9	 7.4	 0.500	 82.9	 0.410	 1.3	
173	 -4.297	 0.099	 23.0	 111.7	 17.9	 14.9	 7.5	 0.500	 63.6	 0.010	 1.2	
174	 -4.184	 0.098	 32.1	 90.4	 15.3	 15.0	 7.6	 0.460	 71.4	 0.030	 1.2	
175	 -4.598	 0.095	 22.3	 58.7	 13.3	 15.0	 7.7	 0.440	 77.2	 0.060	 1.2	
176	 -4.514	 0.094	 31.7	 77.2	 11.4	 14.9	 7.7	 0.500	 86.6	 0.470	 1.3	
177	 -5.140	 0.097	 34.7	 100.3	 13.1	 14.7	 7.8	 0.500	 72.8	 0.010	 1.3	
178	 -5.142	 0.094	 35.2	 101.6	 15.6	 14.5	 7.9	 0.480	 65.1	 0.000	 1.3	
179	 -3.036	 0.085	 5.9	 43.4	 14.8	 14.5	 8.0	 0.470	 90.6	 0.150	 1.3	
180	 -3.457	 0.095	 24.4	 55.8	 17.4	 14.5	 8.0	 0.480	 89.4	 0.020	 1.3	
181	 -5.426	 0.099	 35.0	 89.1	 17.5	 14.7	 8.1	 0.460	 84.8	 0.010	 1.2	
182	 -4.303	 0.101	 18.7	 45.2	 15.3	 15.1	 8.2	 0.440	 87.3	 0.030	 1.2	
183	 -5.208	 0.099	 43.2	 100.8	 16.1	 15.0	 8.2	 0.440	 80.2	 0.000	 1.2	
184	 -3.822	 0.105	 33.6	 92.9	 17.9	 15.1	 8.3	 0.420	 76.8	 0.000	 1.2	
185	 -3.876	 0.105	 30.0	 92.2	 21.8	 15.4	 8.3	 0.400	 75.9	 0.000	 1.2	
186	 -2.523	 0.124	 31.9	 105.4	 24.6	 16.0	 8.4	 0.370	 76.3	 0.000	 1.1	
187	 -2.716	 0.120	 21.6	 126.0	 22.9	 16.7	 8.4	 0.400	 70.4	 0.400	 1.1	
188	 -4.854	 0.117	 26.8	 81.2	 18.0	 17.0	 8.5	 0.360	 75.1	 0.000	 1.1	
189	 -3.187	 0.126	 31.7	 115.9	 18.7	 16.9	 8.5	 0.330	 73.0	 0.000	 1.2	
190	 -3.435	 0.120	 23.8	 67.1	 18.3	 16.8	 8.6	 0.300	 87.0	 0.010	 1.1	
191	 -3.075	 0.124	 34.2	 122.0	 19.2	 16.8	 8.6	 0.280	 73.2	 0.000	 1.1	
192	 -0.751	 0.118	 7.9	 26.1	 17.6	 16.8	 8.7	 0.250	 85.9	 0.080	 1.1	
193	 -1.296	 0.105	 3.4	 15.4	 15.1	 16.6	 8.8	 0.270	 94.8	 0.070	 1.1	
194	 -2.883	 0.097	 10.9	 30.7	 13.1	 16.2	 8.8	 0.270	 93.1	 0.010	 1.2	
195	 -3.741	 0.106	 41.2	 109.0	 17.2	 15.9	 8.9	 0.260	 76.7	 0.000	 1.1	
196	 -5.464	 0.122	 33.8	 98.1	 20.5	 16.0	 9.0	 0.220	 79.5	 0.000	 1.1	
197	 -4.438	 0.119	 31.7	 88.1	 17.6	 16.2	 9.0	 0.200	 75.3	 0.000	 1.0	
198	 -2.920	 0.116	 24.7	 77.6	 19.8	 16.4	 9.1	 0.230	 82.9	 0.280	 1.0	
199	 -5.078	 0.120	 27.4	 100.3	 20.4	 16.7	 9.2	 0.260	 74.3	 0.170	 1.0	
200	 -3.609	 0.120	 24.5	 58.7	 18.5	 16.8	 9.2	 0.210	 80.5	 0.000	 1.0	
